,recipe_urls
156,https://www.sanjeevkapoor.com/Recipe/Kayloli.html
157,https://www.sanjeevkapoor.com/Recipe/Jolada-Vadi.html
158,https://www.sanjeevkapoor.com/Recipe/Japanese-Yogurt-Cake.html
159,https://www.sanjeevkapoor.com/Recipe/Gnocchi.html
160,https://www.sanjeevkapoor.com/Recipe/Flax-Seed-Laddoo.html
161,https://www.sanjeevkapoor.com/Recipe/Dahi-aur-Jowar-ki-Kadhi.html
162,https://www.sanjeevkapoor.com/Recipe/Chocolate-Sandwich-Biscuits.html
163,https://www.sanjeevkapoor.com/Recipe/Chicken-Vegetable-Pie.html
164,https://www.sanjeevkapoor.com/Recipe/Cheesy-Roesti.html
165,https://www.sanjeevkapoor.com/Recipe/Banana-Cake-In-Pan.html
166,https://www.sanjeevkapoor.com/Recipe/Whole-Wheat-Fresh-Spring-Roll-Wrappers.html
167,https://www.sanjeevkapoor.com/Recipe/Radish-Cakes.html
168,https://www.sanjeevkapoor.com/Recipe/Oats-Jaggery-Modak.html
169,https://www.sanjeevkapoor.com/Recipe/Ice-Halwa.html
170,https://www.sanjeevkapoor.com/Recipe/Energy-Bar.html
171,https://www.sanjeevkapoor.com/Recipe/Vatlya-Dalicha-Zunka.html
172,https://www.sanjeevkapoor.com/Recipe/Upvasacha-Dosa.html
173,https://www.sanjeevkapoor.com/Recipe/Sugarless-Whole-Wheat-Carrot-Honey-Cake.html
174,https://www.sanjeevkapoor.com/Recipe/Solapuri-Amti.html
175,https://www.sanjeevkapoor.com/Recipe/Shegaon-Kachori.html
176,https://www.sanjeevkapoor.com/Recipe/Sheer-Payara.html
177,https://www.sanjeevkapoor.com/Recipe/Savoiardi-Biscuits-(Lady-Finger-Biscuits).html
178,https://www.sanjeevkapoor.com/Recipe/Sattu-Pancakes.html
179,https://www.sanjeevkapoor.com/Recipe/Ricotta-Cheese-Crepes-with-Tropical-Fruit-Salsa.html
180,https://www.sanjeevkapoor.com/Recipe/Ragi-Oats-Dhokla.html
181,https://www.sanjeevkapoor.com/Recipe/Ragi-Jaggery-Cookies.html
182,https://www.sanjeevkapoor.com/Recipe/Palak-Mudda-Bhaji.html
183,https://www.sanjeevkapoor.com/Recipe/Oats-Rawa-Dhokla--.html
184,https://www.sanjeevkapoor.com/Recipe/Oats-Jaggery-Cookies.html
185,https://www.sanjeevkapoor.com/Recipe/Oats-Dosa.html
186,https://www.sanjeevkapoor.com/Recipe/Nashik-Zirka.html
187,https://www.sanjeevkapoor.com/Recipe/Nagpuri-Gola-Bhaat.html
188,https://www.sanjeevkapoor.com/Recipe/Mutton-Pop-Corn.html
189,https://www.sanjeevkapoor.com/Recipe/Matar-Khichdi.html
190,https://www.sanjeevkapoor.com/Recipe/Masala-Rawa-Puri.html
191,https://www.sanjeevkapoor.com/Recipe/Lemon-and-Lime-Marmalade.html
192,https://www.sanjeevkapoor.com/Recipe/Kapnya.html
193,https://www.sanjeevkapoor.com/Recipe/Jaggery-Cake.html
194,https://www.sanjeevkapoor.com/Recipe/Instant-Jalebi.html
195,https://www.sanjeevkapoor.com/Recipe/Gluten-Free-Biscuit-Khakra.html
196,https://www.sanjeevkapoor.com/Recipe/Fried-Cheese-Burger.html
197,https://www.sanjeevkapoor.com/Recipe/Fresh-Spring-Roll-Wrappers.html
198,https://www.sanjeevkapoor.com/Recipe/Eggless-Besan-Chocolate-Cake.html
199,https://www.sanjeevkapoor.com/Recipe/Chocolate-Peanut-Chikki.html
200,https://www.sanjeevkapoor.com/Recipe/Chocolate-Crinkle-Cookies.html
201,https://www.sanjeevkapoor.com/Recipe/Chocolate-Bread-Bomb.html
202,https://www.sanjeevkapoor.com/Recipe/Cauliflower-Bread-with-Flax-seed.html
203,https://www.sanjeevkapoor.com/Recipe/Bombay-Halwa.html
204,https://www.sanjeevkapoor.com/Recipe/Black-Sukka-Chicken.html
205,https://www.sanjeevkapoor.com/Recipe/Bizco-Flan.html
206,https://www.sanjeevkapoor.com/Recipe/Aval-Varattiyathu.html
207,https://www.sanjeevkapoor.com/Recipe/Amla-Mojito.html
208,https://www.sanjeevkapoor.com/Recipe/White-Dhokla-.html
209,https://www.sanjeevkapoor.com/Recipe/Vegetable-Manchurian-with-Soya-Chilli-Sauce.html
210,https://www.sanjeevkapoor.com/Recipe/Vegetable-Makhani-Sanjeev-Kapoor-Kitchen-FoodFood.html
211,https://www.sanjeevkapoor.com/Recipe/Umali-Sanjeev-Kapoor-Kitchen-FoodFood.html
212,https://www.sanjeevkapoor.com/Recipe/Tropical-Sangria.html
213,https://www.sanjeevkapoor.com/Recipe/Tomato-Ketchup----.html
214,https://www.sanjeevkapoor.com/Recipe/Tofu-and-Paneer-Bhurji.html
215,https://www.sanjeevkapoor.com/Recipe/Tisrya-Chi-Ek-Shipi.html
216,https://www.sanjeevkapoor.com/Recipe/Til-aur-Gur-ki-Chikki.html
217,https://www.sanjeevkapoor.com/Recipe/Thai-Style-Chicken-Breasts-in-Foil-Sanjeev-Kapoor-Kitchen-FoodFood.html
218,https://www.sanjeevkapoor.com/Recipe/Tandoori-Prawns.html
219,https://www.sanjeevkapoor.com/Recipe/Tahini.html
220,https://www.sanjeevkapoor.com/Recipe/Sweet-Chilli-Sauce.html
221,https://www.sanjeevkapoor.com/Recipe/Sweet-and-Sour-Chicken.html
222,https://www.sanjeevkapoor.com/Recipe/Spicy-Chicken-Leg.html
223,https://www.sanjeevkapoor.com/Recipe/Spaghetti-Lo-Mein.html
224,https://www.sanjeevkapoor.com/Recipe/Sour-Cream.html
225,https://www.sanjeevkapoor.com/Recipe/Sol-Kadhi.html
226,https://www.sanjeevkapoor.com/Recipe/Shrikhand-with-Caramelised-Walnuts.html
227,https://www.sanjeevkapoor.com/Recipe/Sev-ki-Burfi-Sanjeev-Kapoor-Kitchen-FoodFood.html
228,https://www.sanjeevkapoor.com/Recipe/Salsa.html
229,https://www.sanjeevkapoor.com/Recipe/Rice-for-Biryani.html
230,https://www.sanjeevkapoor.com/Recipe/Rawa-Idli-.html
231,https://www.sanjeevkapoor.com/Recipe/Quick-Grilled-Chicken.html
232,https://www.sanjeevkapoor.com/Recipe/Quick-Gajar-Halwa--.html
233,https://www.sanjeevkapoor.com/Recipe/Quick-Gajar-Halwa-Sanjeev-Kapoor-Kitchen-FoodFood.html
234,https://www.sanjeevkapoor.com/Recipe/Quick-Chicken-Pulao.html
235,https://www.sanjeevkapoor.com/Recipe/Pyaaz-ki-Kachori.html
236,https://www.sanjeevkapoor.com/Recipe/Pudla-Sandwich.html
237,https://www.sanjeevkapoor.com/Recipe/Pudina-Chicken-Pulao.html
238,https://www.sanjeevkapoor.com/Recipe/Prawn-Sukke----Sanjeev-Kapoor-Kitchen-FoodFood.html
239,https://www.sanjeevkapoor.com/Recipe/Pizza-Sev-puri.html
240,https://www.sanjeevkapoor.com/Recipe/Pizza-Sauce.html
241,https://www.sanjeevkapoor.com/Recipe/Pizza-Pockets.html
242,https://www.sanjeevkapoor.com/Recipe/Pesto.html
243,https://www.sanjeevkapoor.com/Recipe/Pesto-Sandwich-with-Grilled-Vegetables-Sanjeev-Kapoor-Kitchen-FoodFood.html
244,https://www.sanjeevkapoor.com/Recipe/Pepperoni-Pizza.html
245,https://www.sanjeevkapoor.com/Recipe/Patra---.html
246,https://www.sanjeevkapoor.com/Recipe/Pasta-Sandwich--.html
247,https://www.sanjeevkapoor.com/Recipe/Paneer-Vegetable-Burger.html
248,https://www.sanjeevkapoor.com/Recipe/CHIROTE.html
249,https://www.sanjeevkapoor.com/Recipe/BHAJANEE-CHAKLI.html
250,https://www.sanjeevkapoor.com/Recipe/GUD-KESAR-IMARTI.html
251,https://www.sanjeevkapoor.com/Recipe/KHATTA-MEETHA-MIXTURE.html
252,https://www.sanjeevkapoor.com/Recipe/CREAM-AND-ONION-CHAKLI-STICKS.html
253,https://www.sanjeevkapoor.com/Recipe/APRICOT-JAM-NANKHATAI.html
254,https://www.sanjeevkapoor.com/Recipe/SABUDANA-MATHRI.html
255,https://www.sanjeevkapoor.com/Recipe/KAJU-KHOYA-BESAN-LADDOO.html
256,https://www.sanjeevkapoor.com/Recipe/NAMKEEN-CHAMPAKALI.html
257,https://www.sanjeevkapoor.com/Recipe/5-SEEDS-CHOCOLATE-MAGAZ.html
258,https://www.sanjeevkapoor.com/Recipe/Paneer-Pakora.html
259,https://www.sanjeevkapoor.com/Recipe/Paneer-Cutlets.html
260,https://www.sanjeevkapoor.com/Recipe/Paneer-Biryani.html
261,https://www.sanjeevkapoor.com/Recipe/Orange-Chennar-Payesh-Sanjeev-Kapoor-Kitchen-FoodFood.html
262,https://www.sanjeevkapoor.com/Recipe/Old-Fashioned-Doughnuts-.html
263,https://www.sanjeevkapoor.com/Recipe/Mutton-Pepper-Fry--Sanjeev-Kapoor-Kitchen-FoodFood.html
264,https://www.sanjeevkapoor.com/Recipe/Mozzarella-Sticks-.html
265,https://www.sanjeevkapoor.com/Recipe/Moongdal-ke-Pakode-.html
266,https://www.sanjeevkapoor.com/Recipe/Mixed-Sprouts-Cups--Sanjeev-Kapoor-Kitchen-FoodFood.html
267,https://www.sanjeevkapoor.com/Recipe/Mixed-Sprout-Pulao-.html
268,https://www.sanjeevkapoor.com/Recipe/Matar-Paneer-.html
269,https://www.sanjeevkapoor.com/Recipe/Masala-Pav-.html
270,https://www.sanjeevkapoor.com/Recipe/Mango-Ice-Cream-.html
271,https://www.sanjeevkapoor.com/Recipe/Makai-ke-Pakode-.html
272,https://www.sanjeevkapoor.com/Recipe/Lemonade-with-Berry-Ice-Cubes-.html
273,https://www.sanjeevkapoor.com/Recipe/Khandvi-.html
274,https://www.sanjeevkapoor.com/Recipe/Kerala-Fish-Curry-.html
275,https://www.sanjeevkapoor.com/Recipe/Keema-Samosa-.html
276,https://www.sanjeevkapoor.com/Recipe/Keema-Potato-Casserole-.html
277,https://www.sanjeevkapoor.com/Recipe/Keema-Pav-.html
278,https://www.sanjeevkapoor.com/Recipe/Jalapeno-Cheese-Balls-.html
279,https://www.sanjeevkapoor.com/Recipe/Hummus-.html
280,https://www.sanjeevkapoor.com/Recipe/Honey-Walnut-Prawns-.html
281,https://www.sanjeevkapoor.com/Recipe/Hollandaise-Sauce-.html
282,https://www.sanjeevkapoor.com/Recipe/Healthy-Uttappam--.html
283,https://www.sanjeevkapoor.com/Recipe/Guacamole-.html
284,https://www.sanjeevkapoor.com/Recipe/Glass-Noodles-and-Egg-Stir-Fry-Sanjeev-Kapoor-Kitchen-FoodFood.html
285,https://www.sanjeevkapoor.com/Recipe/Garlic-Vegetables-with-Cashewnuts-Sanjeev-Kapoor-Kitchen-FoodFood.html
286,https://www.sanjeevkapoor.com/Recipe/Garlic-Sauce-.html
287,https://www.sanjeevkapoor.com/Recipe/Fried-Rice-.html
